Subtype,Gene,MeanAbsSHAP
Normal,SLCO1A2,0.0035663348174289743
Normal,COL10A1,0.003140032319568794
Normal,DLK2,0.003097795317141087
Normal,ASPM,0.0030833943096261075
Normal,LRRC3B,0.003039120596251147
Normal,GSTA1,0.0029678059534161447
Normal,LOC100133545,0.0029250157946939404
Normal,HTR2A,0.0029078646494945636
Normal,PI3,0.00286043261667146
Normal,AFP,0.0028431338710611775
Normal,SLPI,0.0028372865280061887
Normal,BUB1B,0.002811868801472883
Normal,CLSPN,0.002805714049979239
Normal,HOXD10,0.0027204774485419924
Normal,AKR1B15,0.002674103159910778
Normal,KIF4A,0.002659360454168159
Normal,RYR3,0.002619421884503481
Normal,SLC16A11,0.002615191076680882
Normal,NBPF4,0.002608471287333695
Normal,LY75,0.0025929665450677123
Normal,UBE2C,0.002524319670094144
Normal,PTN,0.002497049042984953
Normal,PADI2,0.002491584768929695
Normal,TMEM215,0.002488293103359259
Normal,HAS3,0.0024797604906754917
Normal,CCNB2,0.0024786095042183356
Normal,DEFB1,0.002472675627261525
Normal,IRX6,0.0024639198738832923
Normal,TPX2,0.002455480932793661
Normal,TGM1,0.002437041045267405
Normal,GRIA4,0.00243656757699758
Normal,LOC100127888,0.0024211916235243633
Normal,CILP2,0.0024145514107279573
Normal,C14orf39,0.0024135765593453267
Normal,CD164L2,0.0024106345924034636
Normal,ATF3,0.002401966588877258
Normal,AMZ1,0.0023889022523854286
Normal,CDCA5,0.002377351015057785
Normal,ZNF552,0.0023753036388395937
Normal,PLA2G5,0.0023748812916942873
Normal,CXCL2,0.0023727122438180637
Normal,CELF5,0.0023674222376131285
Normal,TRIM29,0.0023647744096959083
Normal,NOX4,0.0023624804761147467
Normal,C11orf92,0.0023556036785900383
Normal,IQGAP3,0.00234746084767797
Normal,HSPB6,0.002343849515530868
Normal,C8orf48,0.002334908289536012
Normal,CX3CL1,0.002334560842882638
Normal,ABCB5,0.0023342884884982595
