Subtype,Gene,MeanAbsSHAP
LumB,DPY19L2P2,0.004639125628753188
LumB,KCNH1,0.004525583461751618
LumB,UHRF1,0.0043875549839387734
LumB,ITGA2B,0.004366988907602515
LumB,WLS,0.004310810788979325
LumB,KRT6B,0.00428467891675963
LumB,NBPF6,0.004219196219107996
LumB,SLPI,0.004151291226510996
LumB,LOC100126784,0.004114789719889384
LumB,STAC2,0.004114197618106472
LumB,BEND5,0.004043363244414245
LumB,MRAP2,0.004039743800363895
LumB,VTCN1,0.003973566297418074
LumB,MMP25,0.003954618249786613
LumB,ITGAD,0.0039098666609081395
LumB,PFKFB1,0.0039095647586893595
LumB,SOSTDC1,0.0038715496506382704
LumB,PLEKHN1,0.0038229961670468685
LumB,FOXC1,0.00382132194620984
LumB,C1orf116,0.003817079166639006
LumB,SMO,0.00380096497047412
LumB,MEPE,0.0037882407478820016
LumB,FAM83D,0.003782677684385918
LumB,IL1RL2,0.003766976671095613
LumB,GRHL3,0.003731135451737878
LumB,PPP1R1B,0.0036978609187422583
LumB,MYBL1,0.0036749509727592843
LumB,NEIL3,0.003637639179651665
LumB,GAS2L3,0.003615198158570365
LumB,SERPINA5,0.0036023224845393997
LumB,CLCA4,0.003600648618885316
LumB,NBPF4,0.003599842319391971
LumB,POLQ,0.0035817000829815194
LumB,FAM54A,0.0035685738093464733
LumB,CST9L,0.0035670842300482442
LumB,PRPH,0.0035634401248785252
LumB,PPP1R14C,0.0035590618252727938
LumB,RASSF10,0.0035490144467379046
LumB,CENPE,0.003548777910298087
LumB,FANCA,0.0035426659194652326
LumB,NPAS2,0.0035414027898670814
LumB,BUB1,0.0035186475239344065
LumB,GRB14,0.0035160659997725613
LumB,BBOX1,0.003504679730061374
LumB,KIAA1257,0.00350101976721362
LumB,S100A2,0.003481055490643333
LumB,NFKBIZ,0.0034708755666138635
LumB,ANXA8,0.0034248204538521853
LumB,P2RY11,0.003424708024859847
LumB,IGF2BP1,0.003419013175289365
